street,number,zip,city,latitude,longitude
Peter-Thumb-Straße,1,79761,Waldshut- Tiengen,47.63438077,8.274122997
Lohmühlenstrasse,5,20099,Hamburg,53.5585033,10.0186905
Alphonsstrasse,14,22043,Hamburg,53.5698592,10.0884579
Fahltskamp,74,25421,Pinneberg,53.6549946,9.8110512
Alfredstrasse,9,22087,Hamburg,53.5591559,10.0308533
Lehmweg,14,20251,Hamburg,53.58010795,9.977396
Schleswiger Chaussee,91,24768,Rendsburg,54.31566,9.6346
Am Kanal ,50,24768,Rendsburg,54.3065409,9.7083831
Sengel,1,24629,Kisdorf,53.81033,10.00985
Marienplatz,28,88212,Ravensburg,47.7820228,9.6137883
Mühlenberg ,1,25541,Brunsbüttel,53.89376,9.1068
Hasenfeldee Straße,12,52396,Heimbach,50.6333925,6.4807774
Hauptstraße,3,25474,Ellerbek,53.65799,9.87086
dorfstraße ,49,23815,Geschendorf,53.84501,10.2413772
Kohlmarkt,25,25554,Wilster,53.92427,9.37772
Schoolredder,2,24220,Flintbek,54.258948,10.0832593
Flensburger Chaussee,28,25813,Husum,54.4827,9.06891
Büttelweg,6,25704,Meldorf,54.0899822,9.0754881
Suchskrug,1-Mar,24107,Kiel,54.3470365,10.0941815
Bahnhofstraße,31,22880,Wedel,53.5780629,9.705942
Halstenbeker Weg,100,25462,Rellingen,53.642447,9.8379612
Bundesstrasse,70,25495,Kummerfeld,53.6906332,9.7913212
Bismarckstrasse,8,25421,Pinneberg,53.6622219,9.7971923
Friedrich-Ebert-Strasse ,33,25421,Pinneberg,53.66253,9.7979677
Am Hafen,81,25421,Pinneberg,53.66432,9.77804
Burmeisterallee,6,25421,Pinneberg,53.65133,9.80425
Büsumer Straße ,9,25764,Wesselburen,54.210414,8.9247315
Röhlingsplatz,1,24768,Rendsburg,54.3032076,9.6677588
Agnes-Karll-Allee,19,25337,Elmshorn,53.75273,9.68575
Alte Dorfstraße,1,24635,Rickling,53.9827873,10.1703124
Bahnstraße,15,25436,Uetersen,53.68029296,9.678116996
Zur Alten Mühle,2,24808,Jevenstedt,54.23141908,9.666666396
Rungholtstraße ,8,25746,Heide ,54.20577408,9.099301596
Birkenweg,3,25704,Nindorf,54.0868361,9.1214355
Große Mühlenstrasse,5,24589,Nortorf,54.2152096,9.7931654
Hilperdinger Weg,51,29664,Walsrode,52.8662541,9.6068901
Westring,444,24118,Kiel,54.34144098,10.127224
Holstenhofweg,47,22043,Hamburg,53.57479,10.10449
Im Dorf,41,32469,Petershagen,52.37091,9.0454
Ringstraße ,1,25709,Kronprinzenkoog ,53.97139197,8.964905896
Kiebitzweg,24,22869,Schenefeld,53.60466095,9.837174996
Halstenbeker Weg,100,25462,Rellingen,53.64288986,9.838888996
Schulweg,2,25462,Rellingen,53.6486524,9.8572469
Lütten Hall,1,25469,Halstenbek,53.6408432,9.8357629
Am Postberg ,2,7819,Triptis,50.737777,11.8664597
Kösterbergstraße ,32,22587,Hamburg ,53.56438395,9.791394996
Am Weinberg,2,22926,Ahrensburg,53.6791177,10.2446208
In de Krüm,60,21147,Hamburg,53.47564195,9.860285996
Krankenhausstraße,57,23795,Bad Segeberg,53.9403767,10.3072125
Kurvenstraße,10A,22043,Hamburg,53.56721324,10.07410915
หมู่ 1,999,10540,Bang Phli,13.69209307,100.7508373
Falkenberger Straße ,28,4916,Herzberg (Elster),51.6850578,13.2269727
Möllner Landstraße,3,22111,Hamburg,53.5409465,10.1049823
Sandbarg,8a,25853,Bohmstedt ,54.57826599,9.049565996
Meldorfer Straße ,42,25774,Hemmingstedt ,54.18995698,9.089833996
Markt,1,21509,Glinde,53.54134095,10.214361
Böwerweg,6-Aug,25853,Bohmstedt,54.5809494,9.0470708
Hauptstraße ,79,25482,Appen,53.6594972,9.7401545
Martinistrasse,52,20251,Hamburg ,53.58965835,9.975089896
Max-Schmelibg-Str.,6,27389,Stemmen ,53.21484094,9.550807996
Westerstraße,54,25336,Elmshorn,53.74896,9.64784
Ettlinger Straße,3,76437,Rastatt,48.8657959,8.2230136
